,날짜,신문사,제목,분야
97,2024.04.02. 오후 6:29,이데일리,"거래소, 한중엔시에스·그리드위즈 코스닥 상장예심 승인",경제
98,2024.04.02. 오후 6:28,한국경제,"'HBM 실수' 되풀이 안한다…삼성, 3D D램으로 135조 시장 반격",경제
99,2024.04.02. 오후 6:28,파이낸셜뉴스,새마을금고 연내 50곳 들여다본다,경제
100,2024.04.02. 오후 6:28,한국경제,"열흘도 못간 '코스닥 900' 외국인, 차익매물 쏟아냈다",경제
101,2024.04.02. 오후 6:28,파이낸셜뉴스,金사과 이어 유가까지 꿈틀.. 긴급 안정자금 무제한 투입,경제
102,2024.04.02. 오후 6:26,한국경제,"삼성 '3D D램' 내년 공개…""다시 초격차""",경제
103,2024.04.02. 오후 6:26,파이낸셜뉴스,[社告] '2024 국토대전'품격있는 작품 기다립니다,경제
104,2024.04.02. 오후 6:25,한국경제,희비 갈린 대기업 그룹주 ETF…SK·삼성 웃고 LG·포스코 울고,경제
105,2024.04.02. 오후 6:24,한국경제,"""밸류업 잘하는 기업, 감사인 지정 면제""",경제
106,2024.04.02. 오후 6:24,한국경제,1분기 외국인직접투자 70억달러 '역대 최대',경제
107,2024.04.02. 오후 6:24,파이낸셜뉴스,구리값 11개월만에 최고… 심상찮은 글로벌 원자재,경제
108,2024.04.02. 오후 6:24,파이낸셜뉴스,농축수산물 뛰고 석유류가 부채질… 내수 발목잡는 물가 [잡히지 않는 인플레],경제
109,2024.04.02. 오후 6:24,한국경제,"아기상어, 美 백악관 행사 초청받았다",경제
110,2024.04.02. 오후 6:24,한국경제,"상장 준비하는 '이 회사', 사상 최대 매출 달성",경제
111,2024.04.02. 오후 6:23,파이낸셜뉴스,사과 계약재배물량 22% 확대.. 강원도에 스마트 과수원 조성,경제
112,2024.04.02. 오후 6:23,한국경제,韓 FTA 체결한지 20년인데…수입업체 검증해보니 절반이 규정 어겼다,경제
113,2024.04.02. 오후 6:23,파이낸셜뉴스,"""60개 뷰티브랜드 최대 25% 할인""... 11번가 '뷰티라운지' 혜택 확대",경제
114,2024.04.02. 오후 6:23,한국경제,전기차 주춤하자 달리는 하이브리드車 부품주,경제
115,2024.04.02. 오후 6:23,파이낸셜뉴스,‘장인화號’ 포스코 첫 조직개편… 키워드는 슬림화·女 약진,경제
116,2024.04.02. 오후 6:23,파이낸셜뉴스,"한화에어로, 방산·항공우주 중심 인적분할 추진",경제
117,2024.04.02. 오후 6:23,파이낸셜뉴스,"한화, 호주 방산업체 ‘오스탈’ 인수 추진",경제
118,2024.04.02. 오후 6:23,파이낸셜뉴스,"LG엔솔, GM 합작 배터리 2공장 본격 가동… ""미래 투자 지속""",경제
119,2024.04.02. 오후 6:22,파이낸셜뉴스,"엔비디아 vs 내재화… 현대차, 자율주행 반도체 고민",경제
120,2024.04.02. 오후 6:22,파이낸셜뉴스,"켈리, 1초당 11.5병씩 팔렸다",경제
121,2024.04.02. 오후 6:22,파이낸셜뉴스,"中 BYD, 티몬서 초저가로 산다",경제
122,2024.04.02. 오후 6:22,파이낸셜뉴스,단골 늘겠네… 프리미엄 반찬 맛집 '잠실 롯데百',경제
123,2024.04.02. 오후 6:22,파이낸셜뉴스,"롯데GRS, 송파구에 신사옥 79스퀘어 오픈",경제
124,2024.04.02. 오후 6:22,한국경제,"평일 쉬는 마트, 단말기 지원금 늘었지만…입법과제 공전 우려",경제
125,2024.04.02. 오후 6:22,파이낸셜뉴스,"삼성SDI, 스마트그리드 엑스포 참가… SBB 주력",경제
126,2024.04.02. 오후 6:21,파이낸셜뉴스,"이훈기 롯데케미칼 대표 현장경영 ""사업구조 고도화""",경제
127,2024.04.02. 오후 6:21,파이낸셜뉴스,"태영건설·비알코리아, 동반성장지수 평가대상서 빠졌다",경제
128,2024.04.02. 오후 6:21,파이낸셜뉴스,SK매직 '초소형 직수 정수기' 판매 호조,경제
129,2024.04.02. 오후 6:21,파이낸셜뉴스,"에이스침대, 경주 황리단길 인근에 체험형 매장",경제
130,2024.04.02. 오후 6:21,한국경제,"""곧 장단기 금리 역전 해소…美2년물 투자 추천""",경제
131,2024.04.02. 오후 6:21,한국경제,"[단독]한미약품 장·차남, KKR 손잡고 경영권 굳힌다",경제
132,2024.04.02. 오후 6:21,파이낸셜뉴스,'연평균 10% 성장' 차량 관제시스템 고도화 경쟁 본격화,경제
